county,n_crimes_2015,anti_refugee_violence_2015,anti_refugee_violence_crimeratio,anti_refugee_violence_popratio
15003,28440,13,0.457102672292546,0.551548578701739
15081,5031,1,0.198767640628106,0.116009280742459
15082,13288,0,0,0
15083,10209,11,1.07748065432462,0.634005763688761
15084,14968,13,0.86851950828434,0.706137968495383
15085,19319,6,0.310575081525959,0.2710027100271
15086,6924,4,0.577700751010976,0.436205016357688
15087,10419,6,0.575871004894904,0.424328147100424
15088,15024,15,0.998402555910543,0.804721030042918
15089,13034,2,0.153444836581249,0.101677681748856
15090,8334,2,0.239980801535877,0.173460537727667
15091,9928,5,0.503626107977437,0.389408099688474
16051,21005,5,0.238038562247084,0.237981913374584
16052,9826,10,1.01770812131081,1.04166666666667
16053,7046,5,0.709622480840193,0.45662100456621
16054,3937,3,0.762001524003048,0.769230769230769
16055,6247,3,0.48023051064511,0.46801872074883
16061,4051,5,1.23426314490249,0.493583415597236
16062,5694,5,0.878117316473481,0.585480093676815
16063,8776,9,1.02552415679125,0.546448087431694
16064,5814,4,0.687994496044032,0.379867046533713
16065,4287,6,1.39958012596221,0.778210116731518
16066,6222,1,0.160720025715204,0.0781860828772479
16067,7945,11,1.38451856513531,0.804093567251462
16068,3622,3,0.82827167310878,0.424929178470255
16069,2735,4,1.46252285191956,0.62015503875969
16070,6284,5,0.795671546785487,0.465549348230913
16071,3975,2,0.50314465408805,0.243605359317905
16072,3208,3,0.935162094763092,0.508474576271186
16073,6596,7,1.06124924196483,0.654205607476636
16074,4561,3,0.65775049331287,0.348027842227378
16075,4719,4,0.847637211273575,0.481927710843373
16076,4866,3,0.61652281134402,0.29673590504451
16077,7399,2,0.270306798215975,0.216684723726977
