county,year,hh_income_vgrdl
5120,2008,19832
5120,2009,19027
5120,2010,19229
5120,2011,19919
5120,2012,20226
5120,2013,20467
5120,2014,20847
5120,2015,20937
5120,2016,21204
5120,2017,22038
5120,2018,23464
5120,2019,22649
5120,2020,22986
5122,2001,18443
5122,2002,18334
5122,2003,18925
5122,2004,19233
5122,2005,19247
5122,2006,19386
5122,2007,19310
5122,2008,20075
5122,2009,19759
5122,2010,20505
5122,2011,21167
5122,2012,21602
5122,2013,21426
5122,2014,21775
5122,2015,21504
5122,2016,21977
5122,2017,22653
5122,2018,23737
5122,2019,23761
5122,2020,24176
5124,2001,17171
5124,2002,17170
5124,2003,17673
5124,2004,17960
5124,2005,18048
5124,2006,18241
5124,2007,18224
5124,2008,18745
5124,2009,18209
5124,2010,18533
5124,2011,19105
5124,2012,19041
5124,2013,19233
5124,2014,19523
5124,2015,19813
5124,2016,20406
5124,2017,20620
5124,2018,21581
5124,2019,21304
5124,2020,21733
5154,2001,15830
5154,2002,15389
5154,2003,15656
5154,2004,15952
5154,2005,16080
5154,2006,16329
5154,2007,16535
5154,2008,17028
5154,2009,16586
5154,2010,17262
5154,2011,17932
5154,2012,18366
5154,2013,18529
5154,2014,18807
5154,2015,18960
5154,2016,19477
5154,2017,20144
5154,2018,20800
5154,2019,21973
5154,2020,22039
5158,2001,19906
5158,2002,19683
5158,2003,20121
5158,2004,20434
5158,2005,20574
5158,2006,20767
5158,2007,20822
5158,2008,21445
5158,2009,20934
5158,2010,21489
5158,2011,22272
5158,2012,22747
5158,2013,22934
5158,2014,23304
5158,2015,23542
5158,2016,23994
5158,2017,24592
5158,2018,25402
5158,2019,25973
5158,2020,26429
5162,2001,18793
5162,2002,18778
5162,2003,19312
5162,2004,19813
5162,2005,19962
5162,2006,20264
5162,2007,20393
5162,2008,20990
5162,2009,20405
5162,2010,20979
5162,2011,21704
5162,2012,22194
5162,2013,22433
5162,2014,22935
5162,2015,23239
5162,2016,23620
5162,2017,24394
5162,2018,25152
5162,2019,25721
5162,2020,26102
5166,2001,16677
5166,2002,16636
5166,2003,17155
5166,2004,17600
5166,2005,17761
5166,2006,18086
5166,2007,18313
5166,2008,18876
5166,2009,18449
5166,2010,19079
5166,2011,19818
5166,2012,20227
5166,2013,20400
5166,2014,20897
5166,2015,21184
5166,2016,21742
5166,2017,22331
5166,2018,23417
5166,2019,24163
5166,2020,24467
5170,2001,15818
5170,2002,15789
5170,2003,16130
5170,2004,16520
5170,2005,16665
5170,2006,16932
5170,2007,17188
