county,year,Arbeitslosenquote_inkar
3452,2012,7.87
3452,2013,8
3452,2014,7.76
3452,2015,7.12
3452,2016,7.22
3452,2017,6.91
3452,2018,6.56
3452,2019,6.33
3452,2020,7.03
3452,1995,
3452,1996,
3452,1997,
3453,1998,10.33
3453,1999,9.14
3453,2000,7.55
3453,2001,7.53
3453,2002,7.18
3453,2003,7.49
3453,2004,7.49
3453,2005,9.35
3453,2006,8.18
3453,2007,7.23
3453,2008,6.41
3453,2009,6.62
3453,2010,6.27
3453,2011,5.38
3453,2012,5.4
3453,2013,5.7
3453,2014,5.6
3453,2015,5.35
3453,2016,5.23
3453,2017,4.75
3453,2018,4.03
3453,2019,3.88
3453,2020,4.49
3453,1995,
3453,1996,
3453,1997,
3454,1998,10.64
3454,1999,9.83
3454,2000,8.58
3454,2001,7.92
3454,2002,7.78
3454,2003,8.13
3454,2004,8.13
3454,2005,9
3454,2006,7.93
3454,2007,6.1
3454,2008,4.58
3454,2009,4.67
3454,2010,4.36
3454,2011,3.69
3454,2012,3.53
3454,2013,3.7
3454,2014,3.5
3454,2015,3.23
3454,2016,3.24
3454,2017,2.99
3454,2018,2.49
3454,2019,2.36
3454,2020,3.04
3454,1995,
3454,1996,
3454,1997,
3455,1998,12.55
3455,1999,11.46
3455,2000,10.22
3455,2001,9.66
3455,2002,9.94
3455,2003,10.44
3455,2004,10.26
3455,2005,12.21
3455,2006,10.8
3455,2007,8.7
3455,2008,7.6
3455,2009,7.3
3455,2010,6.92
3455,2011,6.39
3455,2012,6.5
3455,2013,6.2
3455,2014,6
3455,2015,5.49
3455,2016,5.25
3455,2017,5.25
3455,2018,4.73
3455,2019,4.3
3455,2020,4.7
3455,1995,
3455,1996,
3455,1997,
3456,1998,9.36
3456,1999,8.24
3456,2000,7.07
3456,2001,7.28
3456,2002,7.77
3456,2003,8.39
3456,2004,8.17
3456,2005,9.27
3456,2006,8.44
3456,2007,6.05
3456,2008,4.55
3456,2009,5.33
3456,2010,5.21
3456,2011,4.67
3456,2012,4.53
3456,2013,4.5
3456,2014,4.35
3456,2015,3.96
3456,2016,3.94
3456,2017,3.71
3456,2018,2.99
3456,2019,2.48
3456,2020,3.02
3456,1995,
3456,1996,
3456,1997,
3457,1998,13.01
3457,1999,11.91
3457,2000,11.09
3457,2001,10.64
3457,2002,10.85
3457,2003,12.2
3457,2004,11.82
3457,2005,13.88
3457,2006,12.23
3457,2007,9.95
3457,2008,8.54
3457,2009,8.31
3457,2010,8.12
